d_name,model_name,bias_mean,variance_mean,test_mse_mean,test_score_mean,n_subsamples_mean,subsample_ratio_mean,fit_time_mean,n_splits_mean,random_state_mean,test_size_mean,bias_std,variance_std,test_mse_std,test_score_std,n_subsamples_std,subsample_ratio_std,fit_time_std,n_splits_std,random_state_std,test_size_std
breast,EBM_GA2M,0.038323799243899406,0.006915526131740702,0.04523932537564011,0.9899537037037037,5,0.5,40.01531295776367,5,42,86,0.01412307903148305,0.0030636514605694317,0.016861583375514938,0.00655004656445828,0.0,0.0,9.632220030522713,0.0,0.0,0.0
breast,EBM_GAM,0.04146862975530489,0.004473542442373241,0.045942172197678134,0.9894907407407407,5,0.5,9.048221445083618,5,42,86,0.016462262789447117,0.0018802029168301089,0.01790597382974661,0.0073681504601700665,0.0,0.0,1.577763841518131,0.0,0.0,0.0
breast,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,0.03682477257925214,0.00210484512905752,0.0389296177083097,0.9868518518518519,5,0.5,170.906343793869,5,42,86,0.0160510026104392,0.0002719225551265761,0.015951788541232515,0.008847772140205323,0.0,0.0,19.77471891160357,0.0,0.0,0.0
breast,EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.03735007887127282,0.00141403004961186,0.038764108920884714,0.9899074074074073,5,0.5,244.39637846946715,5,42,86,0.015444566485601462,4.410328444350945e-05,0.015472720611926628,0.008098296177429439,0.0,0.0,35.02218516806924,0.0,0.0,0.0
breast,EGB_XGB_GA2M_CYCLIC_CYCLIC,0.03738781912538332,0.0014215134435431,0.038809332568926436,0.9899537037037037,5,0.5,231.23743453025818,5,42,86,0.015414329521466263,5.276236743108946e-05,0.015455511833437408,0.008199804691708694,0.0,0.0,39.60752813137119,0.0,0.0,0.0
breast,EGB_XGB_GA2M_CYCLIC_RANDOM_BEST_FIT,0.03567741316895813,0.0016461869484079403,0.037323600117366115,0.9909027777777778,5,0.5,56.70736150741577,5,42,86,0.01511381980951194,0.00011123635991513017,0.015168449016012765,0.00733316015858928,0.0,0.0,6.5589368165635085,0.0,0.0,0.0
breast,EGB_XGB_GA2M_CYCLIC_RANDOM_CYCLIC_RANDOM,0.03735566342019972,0.00143100950261098,0.03878667292281074,0.9899305555555555,5,0.5,242.134361743927,5,42,86,0.015405261164972331,6.767366863501632e-05,0.015454063812024046,0.008079085075366395,0.0,0.0,37.59435358295433,0.0,0.0,0.0
breast,EGB_XGB_GA2M_RANDOM_RANDOM,0.03730618489902775,0.0014229949343008798,0.0387291798333287,0.9899768518518519,5,0.5,237.77797622680663,5,42,86,0.01544838926113419,6.219012427609838e-05,0.015491363592476588,0.008119029409107617,0.0,0.0,36.26236316384961,0.0,0.0,0.0
breast,EGB_XGB_GAM_BEST_FIT_BEST_FIT,0.03682477736670044,0.0021048467617900803,0.03892962412849055,0.9868518518518519,5,0.5,160.49583806991578,5,42,86,0.01605103945895381,0.0002719459433113255,0.01595180956770017,0.008847772140205323,0.0,0.0,19.55491156367416,0.0,0.0,0.0
breast,EGB_XGB_GAM_CYCLIC_CYCLIC,0.03623163538731532,0.0015962564082936197,0.037827891795609005,0.990462962962963,5,0.5,41.50008983612061,5,42,86,0.01488149328840975,0.00016074826633335964,0.014924996373454173,0.007361420474514924,0.0,0.0,9.306090122656553,0.0,0.0,0.0
breast,EGB_XGB_GAM_CYCLIC_RANDOM_BEST_FIT,0.03591478232077237,0.0016479764284586598,0.03756275874923108,0.9905555555555555,5,0.5,40.82395262718201,5,42,86,0.015068016059260406,0.00013507808822268877,0.015151731402073286,0.007478768674143127,0.0,0.0,4.612996122843408,0.0,0.0,0.0
breast,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,0.03734906723620858,0.00141684582023518,0.0387659130564438,0.9898611111111112,5,0.5,232.37198338508605,5,42,86,0.015424799377138875,6.0284987303218124e-05,0.015471430798535484,0.008111188403360822,0.0,0.0,40.95731098694203,0.0,0.0,0.0
breast,EGB_XGB_GAM_RANDOM_RANDOM,0.0373061877653515,0.00142300402319048,0.03872919178854206,0.9899768518518519,5,0.5,213.83303332328796,5,42,86,0.015448428029088444,6.217301664357901e-05,0.01549138634585695,0.008119029409107617,0.0,0.0,37.760183869789856,0.0,0.0,0.0
breast,Spline,0.09656971408583329,0.00063904718523858,0.09720876127107193,0.9509722222222223,5,0.5,794.5623101711274,5,42,86,0.01496907916093987,9.913653920027268e-05,0.015032629542022571,0.020818635504672552,0.0,0.0,53.79832428443569,0.0,0.0,0.0
breast,XGB,0.03820207497800082,0.00878403643146152,0.04698611088950612,0.9860879629629631,5,0.5,0.17914547920227047,5,42,86,0.013326028981729422,0.002537147705765788,0.015205090760396257,0.008911059951247819,0.0,0.0,0.010102838026480135,0.0,0.0,0.0
california housing,EBM_GA2M,0.2586434985502822,0.01584435007183746,0.2744878486221196,-0.5238257801853159,5,0.5,419.77368783950806,5,42,3096,0.010012698583020837,0.0010317386423184898,0.009692674721350542,0.009230584293791347,0.0,0.0,16.93794818544756,0.0,0.0,0.0
california housing,EBM_GAM,0.3277683722090411,0.00751736486724904,0.33528573707629017,-0.57898313425299,5,0.5,58.764042901992795,5,42,3096,0.009868649191447915,0.0007132841524514363,0.009855023553201614,0.008487878637892247,0.0,0.0,2.303890742098774,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,0.24433068068249536,0.020406323296482842,0.26473700397897837,-0.5144250179762667,5,0.5,72.20847201347351,5,42,3096,0.009814641286712852,0.0006382467151195494,0.009734635503308772,0.009459133356426678,0.0,0.0,1.6744697975835428,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.24532420838690444,0.018978381838699845,0.2643025902256043,-0.5140053510570856,5,0.5,1657.356835412979,5,42,3096,0.009720163212980972,0.0005035728536172112,0.009601046337854923,0.009332112928434185,0.0,0.0,62.69354717915851,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_CYCLIC_CYCLIC,0.24985923396710738,0.0196915888346734,0.26955082280178083,-0.5190785817538479,5,0.5,2135.1354732990267,5,42,3096,0.010072316517349581,0.0008062590759923639,0.009698184788547103,0.009342415909291447,0.0,0.0,53.62560559002283,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_CYCLIC_RANDOM_BEST_FIT,0.24707585701325305,0.02232721482999768,0.26940307184325085,-0.5189395870370151,5,0.5,78.18702278137206,5,42,3096,0.009778407241511987,0.00043547336645283387,0.009711196026701353,0.009347901816025303,0.0,0.0,2.534469942680578,0.0,0.0,0.0
california housing,EGB_XGB_GA2M_CYCLIC_RANDOM_CYCLIC_RANDOM,0.25021617765822346,0.019550349106713476,0.269766526764937,-0.5192923743121993,5,0.5,2114.0639601707458,5,42,3096,0.010114666957224837,0.0007507069216663635,0.009707349484700098,0.009348734234923025,0.0,0.0,31.164712054348108,0.0,0.0,0.0
california housing,EGB_XGB_GAM_BEST_FIT_BEST_FIT,0.3259458223897395,0.00623803259476966,0.3321838549845092,-0.5762862246389485,5,0.5,574.5660573005676,5,42,3096,0.011060730447217663,0.0005752961725916431,0.010962486427490164,0.00947732547718782,0.0,0.0,15.15667544846012,0.0,0.0,0.0
