d_name,model_name,fit_time_mean,fit_trees_main_mean,fit_trees_inter_mean,test_score_mean,n_splits_mean,random_state_mean,test_size_mean,fit_time_std,fit_trees_main_std,fit_trees_inter_std,test_score_std,n_splits_std,random_state_std,test_size_std
bike,EGB_XGB_GAM_CYCLIC_CYCLIC,200.5275853633881,207795.6,0.0,-97.55747617945647,5,42,2607,15.913980303532645,13659.493211682488,0.0,1.2093531843267984,0.0,0.0,0.0
bike,Spline,9.318553018569947,0.0,0.0,-97.61746148558959,5,42,2607,0.41060939866243945,0.0,0.0,1.2585350821720676,0.0,0.0,0.0
bike,XGB,1.1270446300506591,0.0,0.0,-39.38945339192118,5,42,2607,1.0540851463784269,0.0,0.0,1.8706166447844512,0.0,0.0,0.0
breast,EBM_GA2M,5.997686100006104,71760.0,15414.4,0.9934027777777779,5,42,86,1.5309200477902645,28436.67702105856,2307.4862513133203,0.004549362038665227,0.0,0.0,0.0
breast,EBM_GAM,1.9865309715270996,71760.0,0.0,0.993287037037037,5,42,86,1.1366011657916149,28436.67702105856,0.0,0.005708377451693414,0.0,0.0,0.0
breast,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,33.74939103126526,65788.8,10511.0,0.9916666666666666,5,42,86,9.823144314647632,24378.022606437957,2143.2077594111124,0.005824531314854697,0.0,0.0,0.0
breast,EGB_XGB_GA2M_CYCLIC_BEST_FIT,58.005486536026,112288.8,28514.4,0.9940972222222222,5,42,86,12.038332299587465,39762.56204899277,12219.608843985146,0.004917279117187074,0.0,0.0,0.0
breast,EGB_XGB_GA2M_CYCLIC_CYCLIC,60.0598222732544,112923.2,32221.4,0.9940972222222222,5,42,86,11.672199074101112,40382.89422763059,17325.5278505447,0.004917279117187074,0.0,0.0,0.0
breast,EGB_XGB_GAM_BEST_FIT_BEST_FIT,27.77532801628113,65788.8,0.0,0.9916666666666666,5,42,86,8.294310865047036,24378.022606437957,0.0,0.005824531314854697,0.0,0.0,0.0
breast,EGB_XGB_GAM_CYCLIC_CYCLIC,45.488767099380496,116285.6,0.0,0.9940972222222222,5,42,86,14.258850273674074,45056.071924880445,0.0,0.004917279117187074,0.0,0.0,0.0
breast,EGB_XGB_GAM_CYCLIC_REVERSE_CYCLIC_REVERSE,50.753839063644406,115575.4,0.0,0.9940972222222222,5,42,86,10.06869088084365,34000.71662921239,0.0,0.004917279117187021,0.0,0.0,0.0
breast,Spline,202.84096488952636,0.0,0.0,0.9827546296296296,5,42,86,24.054318709314227,0.0,0.0,0.010899005107280754,0.0,0.0,0.0
breast,XGB,0.06278271675109859,0.0,0.0,0.9940972222222222,5,42,86,0.017130433822290285,0.0,0.0,0.005836019553462348,0.0,0.0,0.0
california housing,EBM_GA2M,147.442293548584,341680.0,398774.4,-0.504192387779396,5,42,3096,13.421124368911366,16199.925925756574,22212.684232212916,0.0116316263453485,0.0,0.0,0.0
