model_name,bias,variance,test_mse,test_score,n_subsamples,subsample_ratio,fit_time,d_name,split_idx,n_splits,random_state,test_size
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.0029551879652415,0.0008685490208597,0.0038237369861012,-0.0611020815082451,5,0.5,190.4467141628265,synthetic_corr,4,5,42,150
EGB_XGB_GA2M_CYCLIC_BEST_FIT,11.083051712733116,0.4453325471132338,11.52838425984635,-3.395294339521547,5,0.5,923.7941319942474,fico,0,5,42,1480
EGB_XGB_GA2M_CYCLIC_BEST_FIT,10.99861464163236,0.403951517782228,11.402566159414588,-3.3767193297621687,5,0.5,835.0637083053589,fico,1,5,42,1480
EGB_XGB_GA2M_CYCLIC_BEST_FIT,10.026851684152064,0.4195448921672042,10.44639657631927,-3.2318362637844134,5,0.5,850.4401786327362,fico,2,5,42,1480
EGB_XGB_GA2M_CYCLIC_BEST_FIT,10.833295401103388,0.4442856970966889,11.277581098200075,-3.358200768987224,5,0.5,828.2344024181366,fico,3,5,42,1480
EGB_XGB_GA2M_CYCLIC_BEST_FIT,10.304068624946032,0.4361035643538895,10.74017218929992,-3.2770987257481523,5,0.5,791.0548009872437,fico,4,5,42,1480
EBM_GAM,0.0383063197137979,0.0023184823729767,0.0406248020867747,0.9927083333333334,5,0.5,8.929519414901733,breast,0,5,42,86
EBM_GAM,0.0592170744613264,0.0072663705477267,0.0664834450090531,0.982638888888889,5,0.5,10.822347402572632,breast,1,5,42,86
EBM_GAM,0.0258690812802063,0.003816927590245,0.0296860088704513,0.992824074074074,5,0.5,8.849480628967285,breast,2,5,42,86
EBM_GAM,0.0580245963617677,0.0052783144029159,0.0633029107646836,0.9810185185185184,5,0.5,10.007375240325928,breast,3,5,42,86
EBM_GAM,0.0259260769594261,0.0036876172980019,0.029613694257428,0.998263888888889,5,0.5,6.632384538650513,breast,4,5,42,86
EBM_GAM,0.0179680486939839,0.0003947138620746,0.0183627625560586,-0.1354993095186281,5,0.5,5.767013311386108,Crimes,0,5,42,300
