,param_index,SCONE_QUEUES,SCONE_SLOTS,SCONE_SSPINS,SCONE_SSLEEP,throughput,latency,failed,time,param_iter
505,144,1,1251,1030,334,5618.293162537221,156.11001029076454,0.0,17799.0,1
506,144,1,1251,1030,334,5702.87995437696,149.28882420956103,0.0,17535.0,0
507,144,1,1251,1030,334,5645.889792231255,155.14806232520974,0.0,17712.0,3
508,144,1,1251,1030,334,5730.659025787965,151.1595742556463,0.0,17450.0,4
509,144,1,1251,1030,334,5622.71577171774,155.50776900038193,0.0,17785.0,2
510,145,1,929,473,3148,4595.165885488466,213.26150323544053,0.0,21762.0,3
511,145,1,929,473,3148,4711.2032413078305,210.3005019698818,0.0,21226.0,0
512,145,1,929,473,3148,4502.679094060966,210.99314835219874,0.0,22209.0,4
513,145,1,929,473,3148,4765.9898961014205,196.29207118121585,0.0,20982.0,1
514,145,1,929,473,3148,4634.349800722958,206.719699091673,0.0,21578.0,2
515,146,5,1889,1423,698,4955.8925562493805,186.17905472835415,0.0,20178.0,0
516,146,5,1889,1423,698,5761.032377001959,148.42219163874262,0.0,17358.0,4
517,146,5,1889,1423,698,5536.178929302995,157.99637303622956,0.0,18063.0,1
518,146,5,1889,1423,698,5454.644629902362,162.05721906901186,0.0,18333.0,3
519,146,5,1889,1423,698,5387.060281204546,156.13256737079368,0.0,18563.0,2
520,147,6,449,1898,4373,4102.227509537679,220.86109095307208,0.0,24377.0,1
521,147,6,449,1898,4373,4112.180277983387,221.60915090365674,0.0,24318.0,4
522,147,6,449,1898,4373,4010.2662816811035,222.56890720989335,0.0,24936.0,2
523,147,6,449,1898,4373,4055.972419387548,223.53640898255173,0.0,24655.0,0
524,147,6,449,1898,4373,3674.444240308653,237.42419749128362,0.0,27215.0,3
525,148,3,1409,948,1923,4804.458537522821,188.25914554612405,0.0,20814.0,4
526,148,3,1409,948,1923,4472.27191413238,222.690293435676,0.0,22360.0,3
527,148,3,1409,948,1923,4978.592054167081,175.15781262501,0.0,20086.0,1
528,148,3,1409,948,1923,4813.477737665463,188.93119311931193,0.0,20775.0,0
529,148,3,1409,948,1923,4929.022082018927,180.28731641123883,0.0,20288.0,2
530,149,4,209,1185,3761,3714.296326560933,248.99107589491166,0.0,26923.0,0
531,149,4,209,1185,3761,4066.6937779585196,220.55091763207133,0.0,24590.0,4
532,149,4,209,1185,3761,3989.786147462496,226.0226048441802,0.0,25064.0,1
