,param_index,SCONE_QUEUES,SCONE_SLOTS,SCONE_SSPINS,SCONE_SSLEEP,wiredTigerCacheSizeGB,throughput,latency,failed,time,param_iter
303,291,3,516,688,143,76,381.3254261692963,413.2852002395152,463917.0,2622432.0,0
304,293,5,996,1163,1368,54,525.3695712248781,250.89628075345558,231753.0,1903422.0,1
305,294,1,1956,213,3818,99,665.201449606999,231.9234791479148,166750.0,1503304.0,0
306,295,1,801,1119,3167,12,937.5937593759376,225.4480369174015,119548.0,1066560.0,0
307,298,3,1281,1594,1942,35,1692.9497109288368,208.46740002585562,64033.0,590685.0,0
308,299,4,561,406,2555,91,8147.303242626691,121.36652,0.0,122740.0,4
309,299,4,561,406,2555,91,5426.67209333876,182.2047,0.0,184275.0,0
310,299,4,561,406,2555,91,7602.365856254466,130.175182,0.0,131538.0,2
311,299,4,561,406,2555,91,7293.201277768864,135.808362,0.0,137114.0,7
312,299,4,561,406,2555,91,7555.152614082805,130.979639,0.0,132360.0,1
313,299,4,561,406,2555,91,7257.631399416487,136.348361,0.0,137786.0,5
314,299,4,561,406,2555,91,7713.609120571424,128.247618,0.0,129641.0,8
315,299,4,561,406,2555,91,7553.326484983987,131.061551,0.0,132392.0,3
316,299,4,561,406,2555,91,8296.55195300833,119.167837,0.0,120532.0,9
317,299,4,561,406,2555,91,7703.151359221058,128.48099,0.0,129817.0,6
318,300,7,1521,1356,105,46,9675.577873888518,101.982453,0.0,103353.0,6
319,300,7,1521,1356,105,46,10877.48686543461,90.508607,0.0,91933.0,0
320,300,7,1521,1356,105,46,9727.437209392814,101.380883,0.0,102802.0,4
321,300,7,1521,1356,105,46,9451.885178498851,104.427596,0.0,105799.0,8
322,300,7,1521,1356,105,46,9911.588629425525,99.525404,0.0,100892.0,3
323,300,7,1521,1356,105,46,10583.466508620233,93.093652,0.0,94487.0,5
324,300,7,1521,1356,105,46,10655.755173369136,92.425079,0.0,93846.0,1
325,300,7,1521,1356,105,46,9519.457771685325,103.682189,0.0,105048.0,7
326,300,7,1521,1356,105,46,10094.076795736262,97.656358,0.0,99068.0,2
327,300,7,1521,1356,105,46,9852.799180247108,100.120618,0.0,101494.0,9
328,302,2,2001,881,1330,69,9506.335972925956,103.760416,0.0,105193.0,1
329,302,2,2001,881,1330,69,380.39852070623266,308.0165246889166,342620.0,2628822.0,3
330,302,2,2001,881,1330,69,9542.531060938603,103.332993,0.0,104794.0,2
331,302,2,2001,881,1330,69,9586.992368754074,102.854447,0.0,104308.0,0
332,303,3,201,1712,411,63,441.60716746097074,330.97536989175626,307027.0,2264456.0,0
333,306,4,1641,1237,4086,85,536.0720180591942,298.8207352774088,287099.0,1865421.0,0
334,307,3,921,1000,1024,52,668.9271946330633,287.2157893973916,241149.0,1494931.0,0
335,309,5,441,1475,2249,74,913.119425976604,284.14031854182326,205693.0,1095147.0,0
336,310,2,1401,525,4699,29,5336.663411301985,185.476051,0.0,187383.0,1
337,310,2,1401,525,4699,29,1964.574787433008,135.95681078691894,61085.0,509016.0,2
338,311,2,381,703,3933,38,8772.39152937874,112.560038,0.0,113994.0,7
339,311,2,381,703,3933,38,8580.81843846266,115.085169,0.0,116539.0,2
340,311,2,381,703,3933,38,8885.0189695155,111.101023,0.0,112549.0,9
341,311,2,381,703,3933,38,8715.58433635183,113.347585,0.0,114737.0,5
342,311,2,381,703,3933,38,8837.747788353616,111.70241,0.0,113151.0,3
343,311,2,381,703,3933,38,8289.468230613005,119.23181,0.0,120635.0,8
344,311,2,381,703,3933,38,7525.870178739417,131.253156,0.0,132875.0,0
345,311,2,381,703,3933,38,8644.760842691287,114.239102,0.0,115677.0,4
346,311,2,381,703,3933,38,8949.586976561031,110.316821,0.0,111737.0,1
347,311,2,381,703,3933,38,8662.9589202488,114.050921,0.0,115434.0,6
348,314,4,1821,228,258,15,11079.718575148192,88.836196,0.0,90255.0,1
349,314,4,1821,228,258,15,11068.068622025457,88.880545,0.0,90350.0,0
350,314,4,1821,228,258,15,11241.133555907778,87.503946,0.0,88959.0,3
351,314,4,1821,228,258,15,764.4523539781336,203.0469633819589,986564.0,1308126.0,4
352,314,4,1821,228,258,15,10805.203786143407,91.127448,0.0,92548.0,2
353,315,4,621,1891,4545,71,1083.3062506770664,2319.501282051282,999220.0,923100.0,0
354,316,8,1581,941,2095,26,9216.674808062748,107.122983,0.0,108499.0,1
355,316,8,1581,941,2095,26,9333.75646362635,105.768372,0.0,107138.0,0
356,316,8,1581,941,2095,26,745.4225464975949,156.48235073358637,152656.0,1341521.0,2
357,317,6,141,466,3320,49,1042.7670030980607,156.9526763291579,145079.0,958987.0,0
358,320,6,1941,1059,4852,43,1736.7322340976114,157.2296186294766,117184.0,575794.0,0
359,321,8,501,1534,1177,21,11218.05658387741,87.745947,0.0,89142.0,1
360,321,8,501,1534,1177,21,189.5664879812951,564.810702210249,560502.0,5275194.0,2
361,321,8,501,1534,1177,21,7744.733581164808,127.231228,0.0,129120.0,0
362,322,4,1461,584,3627,66,202.48292663962576,632.6945727748376,500205.0,4938688.0,0
363,324,7,1221,347,4239,77,219.1662171932829,610.8624822710382,491651.0,4562747.0,0
364,325,5,741,822,564,100,237.75490892560458,542.9975499567591,390623.0,4206012.0,0
365,328,5,1311,1208,3550,28,263.4506716279697,557.5508778425315,427403.0,3795777.0,0
366,329,7,831,1683,2325,50,293.198040029742,532.7938929106846,407672.0,3410664.0,0
367,331,4,1071,1445,488,39,331.81902192361457,541.9154537076089,359830.0,3013691.0,0
368,332,7,2031,495,2938,84,379.2544767198432,495.08350494994977,309993.0,2636752.0,0
369,333,6,591,970,1713,62,446.3787523713871,464.04853308140486,303506.0,2240250.0,0
370,336,6,1671,1564,181,67,562.0592050684251,451.06724770165107,288511.0,1779172.0,0
371,337,8,231,1089,3856,90,766.5989759770879,389.89567523654785,162960.0,1304463.0,0
372,338,4,1191,139,1406,45,1379.6700105268822,335.29417805572405,55453.0,724811.0,0
373,340,7,1431,851,794,33,1666.9667206763884,222.08743326137918,51711.0,599892.0,1
374,340,7,1431,851,794,33,3267.3545537120417,303.89237,0.0,306058.0,0
375,341,5,951,376,4469,11,4774.979109466396,207.933674,0.0,209425.0,9
376,341,5,951,376,4469,11,4499.90325208008,220.736861,0.0,222227.0,0
377,341,5,951,376,4469,11,4558.757829666572,217.963954,0.0,219358.0,8
378,341,5,951,376,4469,11,4639.983667257491,214.146042,0.0,215518.0,1
379,341,5,951,376,4469,11,4584.842510659759,216.688995,0.0,218110.0,3
380,341,5,951,376,4469,11,4616.634657999704,215.197312,0.0,216608.0,4
381,341,5,951,376,4469,11,4620.75179631726,214.999592,0.0,216415.0,7
382,341,5,951,376,4469,11,4717.760007548416,210.559237,0.0,211965.0,6
383,341,5,951,376,4469,11,4608.528542921531,215.558921,0.0,216989.0,2
384,341,5,951,376,4469,11,4568.609086963474,217.513697,0.0,218885.0,5
385,344,5,1851,673,4316,53,7377.460383037743,134.168812,0.0,135548.0,6
386,344,5,1851,673,4316,53,6960.976764259561,142.260162,0.0,143658.0,7
387,344,5,1851,673,4316,53,7266.174504446899,136.215944,0.0,137624.0,0
388,344,5,1851,673,4316,53,7069.785856186416,140.029906,0.0,141447.0,3
389,344,5,1851,673,4316,53,6723.412266193339,147.353302,0.0,148734.0,5
390,344,5,1851,673,4316,53,6942.756968792308,142.654358,0.0,144035.0,2
391,344,5,1851,673,4316,53,6713.527085725027,147.609165,0.0,148953.0,4
392,344,5,1851,673,4316,53,1912.7297905752152,155.14637609075137,61083.0,522813.0,8
393,344,5,1851,673,4316,53,6927.70249674398,142.963857,0.0,144348.0,1
394,345,7,411,198,641,31,6493.675160393776,152.371836,0.0,153996.0,0
395,345,7,411,198,641,31,6829.947955796577,145.001434,0.0,146414.0,8
396,345,7,411,198,641,31,6720.520437102649,147.392742,0.0,148798.0,9
397,345,7,411,198,641,31,6779.615053457264,146.023531,0.0,147501.0,4
398,345,7,411,198,641,31,6892.368769298632,143.676401,0.0,145088.0,6
399,345,7,411,198,641,31,6564.264145989235,150.992952,0.0,152340.0,3
400,345,7,411,198,641,31,6816.95786438344,145.322421,0.0,146693.0,5
401,345,7,411,198,641,31,6758.948848275117,146.568935,0.0,147952.0,7
402,345,7,411,198,641,31,6892.796338546585,143.619707,0.0,145079.0,1
403,345,7,411,198,641,31,6694.515852613539,147.973032,0.0,149376.0,2
404,347,4,171,911,2478,19,1109.785533945565,552.2838940989147,99386.0,901075.0,0
405,348,8,1131,1861,4928,64,1887.2339943684938,140.19610494673285,77856.0,529876.0,0
406,349,6,651,1386,1253,87,169.98803454224858,1343.0603924914676,824200.0,5882767.0,2
407,349,6,651,1386,1253,87,10545.519735940186,93.415604,0.0,94827.0,1
408,349,6,651,1386,1253,87,7943.568886629385,124.15644,0.0,125888.0,0
409,352,5,1491,317,2172,93,181.971931557445,1457.5459999396446,834315.0,5495353.0,0
410,353,7,1011,792,3397,70,210.44581472729274,1573.9048125875863,830881.0,4751817.0,0
411,354,4,1971,1742,947,25,194.54204510768582,1302.1274320733694,813328.0,5140277.0,0
412,356,6,1731,1505,1559,14,252.25694286783855,1357.8859834569441,826876.0,3964212.0,0
413,357,5,291,1980,2784,36,226.4099509890379,1450.4944590352957,828279.0,4416767.0,0
414,360,5,1889,1423,698,80,204.5526464305461,1378.2330813426065,818115.0,4888717.0,0
415,361,6,449,1898,4373,58,188.04291515409648,1407.744101620939,854282.0,5317935.0,1
416,363,4,209,1185,3761,69,225.57110091329227,1418.60669107053,854941.0,4433192.0,0
417,364,7,1169,235,1311,24,177.6934010534731,1605.066065457493,832227.0,5627671.0,1
418,365,5,689,710,4986,46,197.94963765318826,1380.2930013724786,802547.0,5051790.0,1
419,368,6,1529,1779,3454,41,214.6742286379285,951.2280262168828,696684.0,4658221.0,0
420,369,8,1049,1304,2229,18,234.52845123274017,990.6761179961856,728398.0,4263875.0,0
421,370,4,2009,354,4679,63,261.36110591292913,902.9824270686055,691628.0,3826124.0,0
422,372,7,1769,592,2842,75,289.4535291042629,737.4266752994497,545917.0,3454786.0,0
423,373,5,329,117,1617,97,369.34591424009477,516.2525430432352,486737.0,2707489.0,1
424,376,5,1229,889,2383,61,458.378120695543,439.8634290983672,371030.0,2181605.0,0
425,377,7,749,414,3608,83,558.4411450500614,408.3179397137025,302893.0,1790699.0,0
426,379,4,989,651,4220,94,718.9760056137646,391.7786264149672,287616.0,1390867.0,0
427,380,8,1949,1601,1770,49,1070.9722607474744,327.20796793558264,223563.0,933731.0,0
428,381,6,509,1126,2995,27,253.25938496971398,266.7611235840392,490452.0,3948521.0,3
429,381,6,509,1126,2995,27,6579.466800010528,150.026724,0.0,151988.0,1
430,381,6,509,1126,2995,27,10223.589911361476,96.401222,0.0,97813.0,2
431,384,6,1589,532,3914,21,269.190380320245,429.4977878214221,443761.0,3714843.0,0
432,385,7,149,1007,239,44,299.58318990788115,419.43261420302684,426066.0,3337971.0,0
433,386,4,1109,1957,2689,89,335.9099868726377,436.9179693207947,404613.0,2976988.0,0
434,388,7,1349,1245,4526,100,385.6475852097981,415.85646374913006,389325.0,2593041.0,0
435,389,5,869,1720,851,77,448.0973339104827,392.2963677901975,339493.0,2231658.0,0
436,392,5,1439,443,2765,51,571.0321119908178,362.3774700567924,345511.0,1751215.0,0
437,393,7,959,918,1540,28,733.8792416385469,352.26196974603323,286639.0,1362622.0,0
438,395,4,719,206,928,17,1041.842477584759,328.3175057856526,205794.0,959838.0,0
439,396,8,1679,1156,3378,62,8537.376634907625,115.697564,0.0,117132.0,2
440,396,8,1679,1156,3378,62,8066.923194824262,122.581991,0.0,123963.0,5
441,396,8,1679,1156,3378,62,4630.7658823692855,213.729626,0.0,215947.0,1
442,396,8,1679,1156,3378,62,8015.839298453745,123.36732,0.0,124753.0,4
443,396,8,1679,1156,3378,62,9219.138932423712,107.049915,0.0,108470.0,6
